00:00.329  blend            | Read blend: "/Users/dk/Projects/3d render blender 3rd attempt building/.claude/worktrees/lighting/master.blend"
[common] set_lod viewport=LOD1 render=LOD0: 6448 objects, 6 collections
[check] gating on /Users/dk/Projects/3d render blender 3rd attempt building/.claude/worktrees/lighting/master.blend (9679 objects; ORN instanced onto its sockets)
[check] 307 samples x 96 rays in 28.3s

  frame     t |      x      y     z | nearest  what                              |   agl surface                    | speed  leg
    553  23.0 |   69.9   17.3  1.15 |    1.76  ENV_terrain_ground               |  1.75 ENV_terrain_ground         |  5.60  shore
    557  23.2 |   69.6   16.4  1.15 |    1.76  ENV_terrain_ground               |  1.75 ENV_terrain_ground         |  5.60  shore
    561  23.3 |   69.3   15.5  1.14 |    1.76  ENV_terrain_ground               |  1.75 ENV_terrain_ground         |  5.60  shore
    565  23.5 |   69.0   14.6  1.13 |    1.75  ENV_terrain_ground               |  1.74 ENV_terrain_ground         |  5.35  shore
    569  23.7 |   68.7   13.8  1.12 |    1.74  ENV_terrain_ground               |  1.73 ENV_terrain_ground         |  4.94  shore
    573  23.8 |   68.4   13.1  1.12 |    1.73  ENV_terrain_ground               |  1.72 ENV_terrain_ground         |  4.60  gallery
    577  24.0 |   68.0   12.5  1.11 |    1.72  ENV_terrain_ground               |  1.71 ENV_terrain_ground         |  4.60  gallery
    581  24.2 |   67.5   11.9  1.10 |    1.70  ENV_terrain_ground               |  1.69 ENV_terrain_ground         |  4.60  gallery
    585  24.3 |   67.0   11.3  1.10 |    1.70  ENV_terrain_ground               |  1.69 ENV_terrain_ground         |  4.60  gallery
    589  24.5 |   66.7   10.6  1.09 |    1.70  ENV_terrain_ground               |  1.69 ENV_terrain_ground         |  4.60  gallery
    593  24.7 |   66.7    9.8  1.08 |    1.72  ENV_terrain_ground               |  1.71 ENV_terrain_ground         |  4.60  gallery
    597  24.8 |   66.9    9.1  1.07 |    1.73  ENV_terrain_ground               |  1.72 ENV_terrain_ground         |  4.60  gallery
    601  25.0 |   67.2    8.4  1.06 |    1.75  ENV_terrain_ground               |  1.74 ENV_terrain_ground         |  4.60  gallery
    605  25.2 |   67.7    7.8  1.05 |    1.77  ENV_terrain_ground               |  1.75 ENV_ground_colonnade_walk  |  4.60  gallery
    609  25.3 |   68.3    7.3  1.04 |    1.76  ENV_ground_colonnade_walk        |  1.76 ENV_terrain_ground         |  4.60  gallery
    613  25.5 |   69.0    6.9  1.03 |    1.76  ENV_ground_colonnade_walk        |  1.74 ENV_ground_colonnade_walk  |  4.60  gallery
    617  25.7 |   69.6    6.5  1.03 |    1.76  ENV_ground_colonnade_walk        |  1.74 ENV_ground_colonnade_walk  |  4.60  gallery
    621  25.8 |   70.3    6.1  1.03 |    1.76  ENV_ground_colonnade_walk        |  1.74 ENV_ground_colonnade_walk  |  4.60  gallery
    625  26.0 |   70.9    5.7  1.03 |    1.65  ARCH_colonnade_south_column_022_LOD1 |  1.75 ENV_ground_colonnade_walk  |  4.60  gallery
    629  26.2 |   71.5    5.2  1.04 |    1.43  ARCH_colonnade_south_column_024_LOD1 |  1.77 ENV_ground_colonnade_walk  |  4.60  gallery
    633  26.3 |   72.1    4.7  1.06 |    1.44  ARCH_colonnade_south_column_024_LOD1 |  1.77 ENV_ground_colonnade_walk  |  4.60  gallery
    637  26.5 |   72.7    4.3  1.09 |    1.54  ARCH_colonnade_south_column_024_LOD1 |  1.76 ENV_ground_colonnade_walk  |  4.60  gallery
    641  26.7 |   73.3    3.9  1.13 |    1.80  ENV_ground_colonnade_walk        |  1.76 ENV_ground_colonnade_walk  |  4.59  gallery
    645  26.8 |   73.4    3.1  1.16 |    1.79  ENV_terrain_ground               |  1.76 ENV_terrain_ground         |  4.59  gallery
    649  27.0 |   73.0    2.6  1.16 |    1.70  ARCH_colonnade_south_column_023_LOD1 |  1.78 ENV_terrain_ground         |  4.60  gallery
    653  27.2 |   72.3    2.1  1.15 |    1.55  ARCH_colonnade_south_column_023_LOD1 |  1.84 ENV_terrain_ground         |  4.60  gallery
    657  27.3 |   71.8    1.6  1.15 |    1.44  ARCH_colonnade_south_column_023_LOD1 |  1.85 ENV_terrain_ground         |  4.60  gallery
    661  27.5 |   71.2    1.1  1.15 |    1.62  ARCH_colonnade_south_column_023_LOD1 |  1.85 ENV_terrain_ground         |  4.60  gallery
    665  27.7 |   70.7    0.5  1.15 |    1.78  ARCH_colonnade_south_column_021_LOD1 |  1.86 ENV_terrain_ground         |  4.60  gallery
    669  27.8 |   70.1    0.0  1.15 |    1.51  ARCH_colonnade_south_column_021_LOD1 |  1.86 ENV_terrain_ground         |  4.60  gallery
    673  28.0 |   69.5   -0.5  1.15 |    1.46  ARCH_colonnade_south_column_021_LOD1 |  1.83 ENV_ground_colonnade_walk  |  4.60  gallery
    677  28.2 |   69.0   -1.1  1.15 |    1.65  ARCH_colonnade_south_column_021_LOD1 |  1.79 ENV_ground_colonnade_walk  |  4.60  gallery
    681  28.3 |   68.4   -1.6  1.15 |    1.82  ENV_terrain_ground               |  1.79 ENV_terrain_ground         |  4.60  gallery
    685  28.5 |   67.9   -2.1  1.15 |    1.78  ENV_tree_redwood_04_LOD1         |  1.78 ENV_terrain_ground         |  4.60  gallery
    689  28.7 |   67.3   -2.6  1.15 |    1.75  ARCH_colonnade_south_column_019_LOD1 |  1.79 ENV_terrain_ground         |  4.60  gallery
    693  28.8 |   66.7   -3.1  1.15 |    1.52  ARCH_colonnade_south_column_019_LOD1 |  1.80 ENV_terrain_ground         |  4.60  gallery
    697  29.0 |   66.2   -3.6  1.15 |    1.52  ARCH_colonnade_south_column_018_LOD1 |  1.81 ENV_terrain_ground         |  4.60  gallery
    701  29.2 |   65.6   -4.1  1.15 |    1.70  ARCH_colonnade_south_column_019_LOD1 |  1.82 ENV_terrain_ground         |  4.60  gallery
    705  29.3 |   65.0   -4.6  1.15 |    1.82  ENV_ground_colonnade_walk        |  1.83 ENV_terrain_ground         |  4.60  gallery
    709  29.5 |   64.4   -5.1  1.15 |    1.82  ENV_ground_colonnade_walk        |  1.83 ENV_terrain_ground         |  4.60  gallery
    713  29.7 |   63.8   -5.6  1.15 |    1.70  ARCH_colonnade_south_column_016_LOD1 |  1.83 ENV_terrain_ground         |  4.60  gallery
    717  29.8 |   63.2   -6.1  1.15 |    1.45  ARCH_colonnade_south_column_016_LOD1 |  1.84 ENV_terrain_ground         |  4.60  gallery
    721  30.0 |   62.6   -6.6  1.15 |    1.53  ARCH_colonnade_south_column_016_LOD1 |  1.85 ENV_terrain_ground         |  4.60  gallery
    725  30.2 |   62.0   -7.1  1.15 |    1.74  ARCH_colonnade_south_column_016_LOD1 |  1.84 ENV_terrain_ground         |  4.60  gallery
    729  30.3 |   61.4   -7.5  1.15 |    1.88  ENV_terrain_ground               |  1.85 ENV_terrain_ground         |  4.60  gallery
    733  30.5 |   60.8   -8.0  1.15 |    1.84  ENV_ground_colonnade_walk        |  1.86 ENV_terrain_ground         |  4.60  gallery
    737  30.7 |   60.2   -8.5  1.15 |    1.60  ARCH_colonnade_south_column_014_LOD1 |  1.87 ENV_terrain_ground         |  4.60  gallery
    741  30.8 |   59.6   -8.9  1.15 |    1.46  ARCH_colonnade_south_column_014_LOD1 |  1.87 ENV_terrain_ground         |  4.60  gallery
    745  31.0 |   59.0   -9.4  1.15 |    1.51  ARCH_colonnade_south_column_014_LOD1 |  1.85 ENV_ground_colonnade_walk  |  4.60  gallery
